customer_id,customer_name,city,signup_date,is_serial_returner
1,Kiara Thomas,Delhi NCR,2024-09-03,False
2,Vikram Pai,Mumbai,2025-02-22,False
3,Arun Shetty,Bangalore,2024-12-09,False
4,Meera Bose,Chennai,2025-01-11,False
5,Arjun Bose,Mumbai,2025-02-03,False
6,Arjun Chatterjee,Kochi,2024-04-01,False
7,Deepa Pai,Mumbai,2024-04-19,False
8,Ananya Iyer,Delhi NCR,2024-11-28,False
9,Kavya Iyer,Bangalore,2024-09-07,False
10,Sanjay Reddy,Pune,2024-06-04,False
11,Kavya Gupta,Hyderabad,2025-01-23,False
12,Saanvi Sharma,Pune,2024-11-02,False
13,Rohan Krishnan,Kochi,2024-05-13,True
14,Arun Shetty,Mumbai,2024-05-03,False
15,Diya Shetty,Bangalore,2024-10-11,False
16,Ananya Das,Delhi NCR,2024-12-08,False
17,Sneha Gupta,Kochi,2024-06-17,False
18,Anjali Thomas,Hyderabad,2024-05-11,True
19,Deepa Joseph,Kochi,2024-10-02,False
20,Lakshmi Shetty,Pune,2024-10-18,False
21,Kavya Bose,Mumbai,2024-10-27,False
22,Myra Pai,Chennai,2024-12-15,True
23,Anjali Mathew,Pune,2024-08-05,False
24,Myra Sharma,Mumbai,2024-12-06,False
25,Myra Krishnan,Mumbai,2025-02-21,False
26,Meera Rao,Hyderabad,2024-08-04,True
27,Karthik Krishnan,Bangalore,2024-06-29,False
28,Anjali Shetty,Mumbai,2024-06-02,False
29,Rohan Shetty,Mumbai,2024-11-18,False
30,Anjali Thomas,Pune,2024-11-13,True
31,Vivaan Chatterjee,Mumbai,2024-04-07,False
32,Saanvi Pai,Mumbai,2024-12-25,False
33,Karthik Sharma,Bangalore,2024-10-05,False
34,Sneha Kumar,Bangalore,2024-07-02,False
35,Priya Sharma,Delhi NCR,2024-09-11,False
36,Diya Gupta,Pune,2024-06-12,False
37,Sneha Reddy,Kochi,2024-07-20,False
38,Vivaan Mathew,Bangalore,2024-04-10,True
39,Pooja Gupta,Pune,2024-11-17,False
40,Neha Das,Mumbai,2024-12-17,False
41,Ishaan Nair,Mumbai,2024-08-05,False
42,Aarav Iyer,Pune,2024-11-23,False
43,Neha Mathew,Chennai,2024-08-09,False
44,Saanvi Thomas,Chennai,2024-09-21,False
45,Kabir Krishnan,Hyderabad,2025-02-14,False
46,Myra Rao,Bangalore,2024-10-16,False
47,Ananya Reddy,Kochi,2024-06-28,False
48,Saanvi Pai,Delhi NCR,2024-06-28,False
49,Pooja Reddy,Hyderabad,2024-05-22,False
50,Arun Pillai,Kochi,2024-09-15,False
51,Rahul Das,Kochi,2024-07-06,False
52,Kabir Kumar,Kochi,2024-04-14,False
53,Arun Chatterjee,Kochi,2024-04-12,True
54,Rohan Singh,Chennai,2024-04-22,False
55,Aditya Reddy,Delhi NCR,2025-02-12,False
56,Divya Nair,Pune,2025-01-29,False
57,Diya Kumar,Delhi NCR,2024-06-01,False
58,Kavya Joseph,Chennai,2025-02-12,False
59,Vikram Mathew,Delhi NCR,2024-08-12,False
60,Saanvi Das,Bangalore,2024-10-03,False
61,Karthik Verma,Mumbai,2024-12-01,False
62,Divya Mathew,Pune,2024-04-22,False
63,Ananya Kumar,Mumbai,2024-05-21,False
64,Kiara Thomas,Hyderabad,2024-07-13,False
65,Rahul Thomas,Pune,2024-11-10,False
66,Sneha Shetty,Delhi NCR,2024-12-19,False
67,Naveen Thomas,Pune,2024-08-21,False
68,Deepa Thomas,Bangalore,2024-04-09,False
69,Meera Krishnan,Bangalore,2025-01-06,False
70,Deepa Thomas,Pune,2024-04-21,False
71,Vikram Rao,Chennai,2024-07-03,False
72,Manoj Singh,Mumbai,2024-08-03,False
73,Rahul Joseph,Chennai,2024-10-02,False
74,Saanvi Das,Hyderabad,2024-07-17,False
75,Kiara Iyer,Hyderabad,2024-05-31,False
76,Kabir Pai,Chennai,2024-06-11,False
77,Ananya Menon,Delhi NCR,2024-08-10,False
78,Kiara Bose,Chennai,2024-09-11,False
79,Vivaan Mathew,Pune,2024-05-29,False
80,Kabir Iyer,Mumbai,2024-07-05,False
81,Aditya Nair,Chennai,2024-07-25,False
82,Aditya Mathew,Hyderabad,2024-05-11,False
83,Aarav Rao,Delhi NCR,2024-04-10,False
84,Lakshmi Mathew,Kochi,2025-01-27,False
85,Saanvi Joseph,Pune,2024-12-30,False
86,Divya Iyer,Mumbai,2025-02-10,False
87,Vivaan Rao,Pune,2024-05-19,False
88,Sanjay Pai,Chennai,2024-12-01,False
89,Vivaan Rao,Delhi NCR,2024-09-11,False
90,Kabir Iyer,Pune,2024-11-02,True
91,Aarav Gupta,Bangalore,2024-08-19,False
92,Priya Pai,Hyderabad,2024-07-27,False
93,Ishaan Reddy,Bangalore,2025-01-19,False
94,Neha Joseph,Delhi NCR,2024-06-21,False
95,Aarav Pai,Mumbai,2024-08-02,False
96,Sanjay Krishnan,Mumbai,2025-02-21,False
97,Vikram Joseph,Mumbai,2024-04-25,False
98,Pooja Chatterjee,Bangalore,2024-09-19,True
99,Anjali Nair,Delhi NCR,2024-06-01,False
100,Arun Das,Delhi NCR,2024-09-03,False
101,Rohan Bose,Bangalore,2024-09-29,False
102,Manoj Nair,Delhi NCR,2024-08-02,False
103,Vivaan Das,Bangalore,2024-08-24,True
104,Myra Shetty,Mumbai,2025-02-16,False
105,Arun Krishnan,Mumbai,2025-01-14,False
106,Divya Krishnan,Delhi NCR,2024-09-08,False
107,Anjali Kumar,Chennai,2025-01-31,False
108,Pooja Reddy,Chennai,2024-06-06,False
109,Pooja Thomas,Mumbai,2025-02-16,False
110,Naveen Pai,Pune,2024-07-11,False
111,Sanjay Gupta,Bangalore,2024-07-01,False
112,Neha Rao,Kochi,2024-12-10,False
113,Suresh Pillai,Kochi,2024-05-10,False
114,Kabir Chatterjee,Delhi NCR,2024-04-05,False
115,Myra Menon,Kochi,2024-05-09,False
116,Pooja Pai,Mumbai,2024-09-14,False
117,Kiara Iyer,Mumbai,2024-05-27,False
118,Divya Menon,Delhi NCR,2025-02-15,False
119,Kavya Pai,Delhi NCR,2024-05-07,False
120,Suresh Mathew,Pune,2024-12-27,True
121,Priya Singh,Bangalore,2024-04-06,False
122,Saanvi Thomas,Mumbai,2025-02-27,False
123,Arun Nair,Pune,2024-11-23,False
124,Deepa Singh,Chennai,2024-09-29,False
125,Aarav Reddy,Delhi NCR,2024-05-04,True
126,Manoj Gupta,Mumbai,2024-10-21,False
127,Priya Singh,Hyderabad,2024-12-01,False
128,Kiara Mathew,Mumbai,2024-05-10,False
129,Arun Krishnan,Bangalore,2024-11-08,False
130,Karthik Menon,Hyderabad,2024-04-12,False
131,Myra Mathew,Bangalore,2024-05-30,False
132,Ananya Reddy,Chennai,2024-07-29,False
133,Kiara Chatterjee,Kochi,2024-08-01,False
134,Saanvi Shetty,Delhi NCR,2024-08-18,False
135,Divya Pai,Hyderabad,2024-06-04,False
136,Saanvi Nair,Bangalore,2024-06-30,False
137,Aarav Nair,Chennai,2025-02-09,False
138,Naveen Pillai,Chennai,2024-10-15,True
139,Anjali Joseph,Delhi NCR,2024-11-20,False
140,Meera Mathew,Mumbai,2024-12-18,False
141,Deepa Verma,Bangalore,2025-01-06,False
142,Karthik Joseph,Chennai,2024-09-20,False
143,Priya Joseph,Bangalore,2024-06-02,False
144,Neha Verma,Kochi,2024-10-24,False
145,Pooja Gupta,Bangalore,2024-09-18,False
146,Priya Reddy,Hyderabad,2024-12-17,False
147,Kavya Kumar,Mumbai,2024-12-15,False
148,Divya Joseph,Hyderabad,2024-10-07,False
149,Suresh Chatterjee,Mumbai,2025-01-08,False
150,Neha Rao,Kochi,2024-06-12,False
151,Karthik Gupta,Pune,2025-01-18,False
152,Deepa Thomas,Hyderabad,2024-06-08,False
153,Arun Pillai,Bangalore,2024-11-15,False
154,Naveen Menon,Chennai,2024-09-01,False
155,Manoj Singh,Chennai,2024-06-21,False
156,Kabir Thomas,Bangalore,2024-06-09,False
157,Divya Pai,Pune,2024-05-09,False
158,Vikram Rao,Mumbai,2024-10-22,False
159,Rohan Pai,Bangalore,2024-07-19,False
160,Saanvi Sharma,Pune,2024-07-07,False
161,Naveen Singh,Bangalore,2024-06-15,False
162,Suresh Reddy,Pune,2024-05-01,False
163,Vivaan Reddy,Mumbai,2024-05-06,True
164,Kiara Rao,Chennai,2024-09-12,False
165,Aditya Joseph,Chennai,2024-10-05,False
166,Myra Nair,Bangalore,2024-11-23,False
167,Priya Menon,Chennai,2024-06-01,False
168,Priya Bose,Bangalore,2024-04-18,False
169,Priya Das,Hyderabad,2024-06-01,False
170,Lakshmi Rao,Bangalore,2024-08-04,False
171,Rohan Pillai,Bangalore,2024-10-26,False
172,Vivaan Das,Mumbai,2024-10-20,False
173,Arun Pillai,Mumbai,2024-12-28,False
174,Deepa Shetty,Bangalore,2025-01-01,False
175,Karthik Joseph,Mumbai,2024-07-26,False
176,Diya Krishnan,Kochi,2024-11-24,False
177,Ishaan Singh,Delhi NCR,2024-06-02,False
178,Rohan Iyer,Chennai,2024-09-23,True
179,Kabir Singh,Hyderabad,2024-08-01,False
180,Neha Das,Pune,2024-09-08,False
181,Diya Singh,Kochi,2024-10-18,False
182,Kiara Bose,Kochi,2024-09-01,False
183,Priya Chatterjee,Hyderabad,2024-11-06,False
